compound,user_compound_id,smiles,purity_pct,molecular_weight,log_p,tpsa,inchi_key,num_rotatable_bonds,num_h_acceptors,num_h_donors,num_atoms,num_bonds
47139de8-9392-4336-9b74-52ea8cf9da89,9244221,NC(=O)C1CCCN1Cc1cc(F)cc(F)c1,,240.25,1.41,46.33,VRHCXBYNQUONAS-UHFFFAOYSA-N,3,2,1,17,18
e770158b-c94f-44ca-b7e3-ad38d0b62e5c,9267009,CC(=O)Nc1ccc(CC(=O)N2CC(n3cc(COc4ccccc4)nn3)C2)cc1,,405.46,2.44,89.35,GNZSRKUZCFSEGY-UHFFFAOYSA-N,7,6,1,30,33
ef157c8f-d4a6-45f8-b105-9009217f4319,9255381,Cc1nc(CN2CCN(c3ccnc(C(F)(F)F)c3)C(=O)C2)cs1,,356.37,2.71,49.33,WBJYNZISGTVRMM-UHFFFAOYSA-N,3,5,0,24,26
6568a2ba-90ea-44c7-9e5e-1833da101719,9244424,OC1CCN(C2CCN(c3ncc(Br)cn3)CC2)C1,,327.23,1.27,52.49,VMCCCUFDLIBHLW-UHFFFAOYSA-N,2,5,1,19,21
2302eae7-50cd-4af8-ab7c-58c9a9baec4b,9248141,CC(C)S(=O)(=O)c1ccc(CC(=O)NCC#CCOc2ccccc2C(N)=O)cc1,,428.51,1.71,115.56,HBAAJBQVJIKPNR-UHFFFAOYSA-N,8,5,2,30,31
763cc593-200b-4c0f-a53a-3064d9885d51,9255935,CC(=O)Nc1ccc(C(=O)NCCNC(=O)C2CN(c3cc(-n4ccnc4)ncn3)C2)cc1,,448.49,0.6,134.14,SUZGINNLINFWJO-UHFFFAOYSA-N,8,8,3,33,36
b4037492-74e4-4ff6-a0e7-362f0fe42f10,9250238,c1ccc(-c2cc3c(N4CCc5ccccc5C4)ncnc3s2)cc1,,343.45,4.92,29.02,CAUKDQAEFAFFOK-UHFFFAOYSA-N,2,4,0,25,29
c0cdadbb-ae58-4aa0-963e-c9ba7a3684bc,9248602,N#Cc1cc2c(nc1N1CCC(N3CCOC3=O)C1)CCC2,,298.35,1.47,69.46,UMKMVLQKKKJUCF-UHFFFAOYSA-N,2,5,0,22,25
52216b74-c362-4c2d-839a-b53ffd25c905,9245159,O=C(Nc1nc(CCC(=O)N2CCN(c3ncccn3)CC2)cs1)NC1CCCCC1,,443.58,2.67,103.35,NMAALPOJMIAGSA-UHFFFAOYSA-N,6,7,2,31,34
ccde407b-2056-4ead-a0cf-37fcd9a977e4,9243002,Cn1nc(N2CCCC(C(=O)Nc3ncnc4[nH]cnc34)C2)ccc1=O,,354.37,0.3,121.69,PFYSKOOZWXYQCW-UHFFFAOYSA-N,3,8,2,26,29
92e135c9-5a9a-48ce-aaa5-085a945332b2,9251751,COc1cccc(-c2n[nH]cc2C(=O)NC2CCN(c3ncnc4c3CCCC4)CC2)c1,,432.53,3.15,96.03,QXSNXHOFBKQSIM-UHFFFAOYSA-N,5,6,2,32,36
bea544ee-1a72-46ef-8d15-662ab9624623,9243433,COc1cccc(OCC(O)CN2CCc3ccccc3C2)c1.Cl,,349.86,2.92,41.93,MLYBGWLAWINHNU-UHFFFAOYSA-N,6,4,1,24,25
6e309c72-7a37-41cc-a0b1-0ca3cd45f134,9267685,O=C(CCCS(=O)(=O)Cc1ccccc1)N(Cc1ccccc1)c1nc2ccc(F)cc2s1,,482.6,5.36,67.34,GZAGDWDODTWCRG-UHFFFAOYSA-N,9,5,0,33,36
8cbef6e9-7a98-4623-807c-49ac243592f5,9255524,Cc1nc2cc(F)ccc2c(=O)n1CC1CCN(C2CCCNC2=O)CC1,,372.44,1.83,67.23,CDXOAKNOQUJSMX-UHFFFAOYSA-N,3,5,1,27,30
44315228-e071-4ef6-a86b-c11f1cdb2f8f,9255278,COc1cccc(Cn2c(=O)n(Cc3ccc(C(=O)NCCC(C)C)cc3)c(=O)c3cc(OC)c(OC)cc32)c1,,545.64,4.06,100.79,UBHZBDSAIFAQET-UHFFFAOYSA-N,11,8,1,40,43
83e87b10-a411-495a-91a7-fb5339f9ab72,9249206,Cc1cc(C)nc(N2CC3C(=O)N(Cc4ccccc4)C(=O)C3C2)n1,,336.39,1.71,66.4,MXYVPICSWFYGNS-UHFFFAOYSA-N,3,5,0,25,28
c63bd715-96fa-41c0-bbe3-ea07a7a10ebd,9264260,O=C(CCCSc1ccc(NC(=O)c2ccc(F)cc2)nn1)NC1CC1,,374.44,3.02,83.98,PXCLGKZXPROJBN-UHFFFAOYSA-N,8,5,2,26,28
524e1dc5-bd27-4507-b251-6dd88340e616,9249904,CCC(C(=O)Nc1nc(CN2CCc3ccccc3C2)cs1)c1ccccc1.Cl,,428.0,5.26,45.23,HJVHJLRCEJEFJI-UHFFFAOYSA-N,6,4,1,29,31
a0310160-b363-45e3-8cdc-d8577e203c31,9254460,O=C(C1CCN(CCOc2ccccc2)CC1)N1CCC(F)(F)CC1,,352.43,3.04,32.78,AREYDOKMUSYOAM-UHFFFAOYSA-N,5,3,0,25,27
b8b53979-1c5d-4c08-af1b-fbd4296ef663,9246784,Cc1cccc(CC(=O)NCCCN2CCN(c3ccccc3)CC2)c1,,351.49,2.87,35.58,VYQLKYWRWZXQGZ-UHFFFAOYSA-N,7,3,1,26,28
77fe5a0f-5586-47e6-a705-32bc4f8e4b25,9262061,O=C(CCn1cnc2ccccc2c1=O)NCCn1nc2c(cc1=O)CCC2,,379.42,0.65,98.88,ZBPRFEDWORVVLL-UHFFFAOYSA-N,6,7,1,28,31
757d9139-d43a-4903-9b5b-32675baa0428,9255271,CCOc1ccc(-c2ccc(N3CCN(Cc4ccn(C)c(=O)c4)CC3)nn2)cc1,,405.5,2.56,63.49,PPSLDTKXMMMFKI-UHFFFAOYSA-N,6,7,0,30,33
d275e1db-88d2-4cbe-abe1-02cdd58bfc76,9253539,O=C(CCC1CCCC1)NCc1cn(-c2cccnc2)nn1,,299.38,2.25,72.7,WPAXFBIURCMAIO-UHFFFAOYSA-N,6,5,1,22,24
f8b8a4c1-7dad-4761-b8d5-58a06132c032,9244657,O=C(Cc1c[nH]c2ccccc12)N1C2CCC1CC(S(=O)(=O)c1ccccc1)C2,,408.52,3.71,70.24,DBLLYBVOXAMORM-UHFFFAOYSA-N,4,3,1,29,33
c806fbcf-a82c-4423-b44d-13ff5d6111ac,9243821,O=C(c1cncc(Br)c1)N1CCCN(C2CCSC2)CC1,,370.32,2.5,36.44,UVJXUDHDOFTOLG-UHFFFAOYSA-N,2,4,0,21,23
4d5c9e57-cad0-4d51-b7a4-9764da63c1ac,9253897,C=C1CC2CCC(C1)N2c1ncc(C)cn1,,215.3,2.47,29.02,KNXFQQQRDSJPLB-UHFFFAOYSA-N,1,3,0,16,18
c9c71d7c-7b26-4f63-89e5-6d584549e1e6,9271043,Fc1ccc(CNCc2cn3c(-c4ccc(Br)cc4)nnc3s2)cc1,,417.31,4.65,42.22,RETRHUUGKKWMGE-UHFFFAOYSA-N,5,5,1,25,28
c9ce6517-4c94-45ee-a307-14535f68e066,9265546,CC(O)(CNC(=O)C1CC1)c1cc2ccccc2s1,,275.37,2.63,49.33,HPHLALICVIVPRQ-UHFFFAOYSA-N,4,3,2,19,21
7ac75a00-b890-4142-9374-53203ddc3e79,9250350,Cc1cc2cc(CNC(=O)Cc3ccc(-c4ccccc4)cc3)ccc2[nH]1,,354.45,5.0,44.89,JBPKHPHPTOKJMA-UHFFFAOYSA-N,5,1,2,27,30
8381e510-2660-46f1-997e-a483e54fdda8,9243716,COc1ccc(OCC(O)CN2CCN(c3ccccc3)CC2)cc1.Cl.Cl,,415.36,3.1,45.17,DXERFKCHKWYEPE-UHFFFAOYSA-N,7,5,1,27,27
7c5300f8-10f1-4505-9cdb-705a2b4733d1,9265995,O=C(NCCc1ccc(F)cc1)C1CCCN(c2cc(-n3ccc4ccccc43)ncn2)C1,,443.53,4.13,63.05,RSMABZOXZLEWGG-UHFFFAOYSA-N,6,5,1,33,37
9d6734c7-aef3-4ff3-80e3-13df71fef12a,9245768,OC1CCN(c2ccc3nccn3n2)CC1,,218.26,0.69,53.66,OBLKADBURJEVBH-UHFFFAOYSA-N,1,5,1,16,18
fc42597f-552b-4357-96b7-1c873a89418f,9244230,N#Cc1cccc(CN2CCC(C(N)=O)CC2)c1,,243.31,1.26,70.12,NLZHGGFYAXCENM-UHFFFAOYSA-N,3,3,1,18,19
ea6a5aa3-f179-46ad-8ff9-34351730bd46,9257009,Cc1cccc(N2CCN(CC3CC(=O)N(C)C3)CC2)c1C,,301.43,1.9,26.79,HSVZRWZTSRZWCU-UHFFFAOYSA-N,3,3,0,22,24
d517a293-78a5-458a-90c0-463105d92450,9267229,C=C1CC2CCC(C1)N2Cc1ccc(NC(C)=O)cc1,,270.38,3.33,32.34,VHVFHPFRINHLKE-UHFFFAOYSA-N,3,2,1,20,22
27dc4c2c-9bb5-4c71-8bc0-7e29b3fa3d85,9249859,O=C(COc1ccccc1)Nc1cccc(NC(=O)COc2ccccc2)c1,,376.41,3.72,76.66,YRUSVVDERGBZBF-UHFFFAOYSA-N,8,4,2,28,30
0bb3200e-ee58-43d5-b084-30998f9b4681,9259166,Cn1c(=O)cc(N2C3CCC2CC(=C2CCC2)C3)[nH]c1=O,,287.36,1.69,58.1,SQBFGQZXIFYBBR-UHFFFAOYSA-N,1,4,1,21,24
f00560d7-72e7-4d40-8c67-51d567bbbdb7,9248355,O=C(c1ccc(Cl)s1)N1CCC(N2CCc3ccccc3C2)C1,,346.88,3.67,23.55,WDQCFKHBVKIETQ-UHFFFAOYSA-N,2,3,0,23,26
e7ac9abb-7ab9-4f9d-a83b-a93afd874738,9247333,c1ccc2c(-c3cnc(N4CCC4)nc3)cccc2c1,,261.33,3.51,29.02,URUGEIDOEBHRGV-UHFFFAOYSA-N,2,3,0,20,23
4262298a-154d-4e66-a257-9c206cb2bb85,9251767,Cc1ccsc1CCC(=O)N1CCc2cc(-c3ccncc3)ccc21,,348.47,4.64,33.2,WDDNLXVHFSPOCR-UHFFFAOYSA-N,4,3,0,25,28
59f3016d-b351-4d05-a2b1-dd3f57ba73e4,9257499,O=C1Cc2cc(S(=O)(=O)N3CCC(COc4cc(C5CCC5)ncn4)CC3)ccc2N1,,442.54,2.72,101.49,OPRRHHGIHGZZKS-UHFFFAOYSA-N,6,6,1,31,35
f17187d0-2982-47e6-b1f8-e05190cd6019,9265510,CC(O)(CNC(=O)CCc1ccccc1F)c1cc2ccccc2o1,,341.38,3.53,62.47,LDJKLEARQSCEIP-UHFFFAOYSA-N,6,3,2,25,27
645e8a39-d0c3-49a9-a08c-b31eb3224b49,9247554,Cc1ccc(C)c(Cn2cc(SCC(=O)N3CCC(C)CC3)c3ccccc32)c1,,406.6,5.66,25.24,KWVCXXZYTNAWOV-UHFFFAOYSA-N,5,3,0,29,32
e212c148-a63b-431d-a59d-2e277543750e,9254943,Cc1ccc(-c2nc(N3CCN(C)CC3)ncc2C(=O)O)cc1,,312.37,1.9,69.56,JRGQHEUYHCJPLP-UHFFFAOYSA-N,3,5,1,23,25
2a2adb66-fcce-4cdc-aeb4-a293c001230e,9259225,O=C(c1ccc(-c2ccccc2)cc1)N1CCC2(CC1)CC2(F)F,,327.37,4.62,20.31,BYQIOTCKVGMALI-UHFFFAOYSA-N,2,1,0,24,27
8e14eaa7-47d6-4186-b59f-d5b8c87f3d80,9254091,O=C(CCc1csc(NC(=O)Nc2ccccc2)n1)NCc1cccnc1,,381.46,3.43,96.01,BVERVFDOOVIVTO-UHFFFAOYSA-N,7,5,3,27,29
a1202032-a355-4696-a86b-a4fac34ef49d,9263722,O=C(Nc1ccc(-n2nnn(CC(=O)N3CCOCC3)c2=O)cc1)C1CC1,,372.38,-0.36,111.35,FXTFKVSXIWUIPI-UHFFFAOYSA-N,5,8,1,27,30
d0e3177e-0ed0-4605-886f-3151e365dd30,9271017,OCC1CCCN1C1CCN(c2cnc3ccccc3n2)CC1,,312.42,2.06,52.49,FYZRFDGWAXZGBW-UHFFFAOYSA-N,3,5,1,23,26
644fae66-8e7e-4137-8d5e-a6bbf1fb8ed8,9264424,O=C(NCc1ccc(C(O)c2ccccc2)s1)C1CC1,,287.38,2.86,49.33,NTWGWJWDVDQFHG-UHFFFAOYSA-N,5,3,2,20,22
1f720e9d-344f-45f3-a508-0abf9c7b4111,9269675,OCC1CCCN1c1ccc(C2CC2)nn1,,219.29,1.32,49.25,HSBVRWKGAJVYHN-UHFFFAOYSA-N,3,4,1,16,18
14bae6ec-397d-456f-9a88-ebd33aeccf71,9241165,O=C(/C=C/c1cc(Cl)cc2c1OCOC2)c1cc(Br)ccc1O,,395.64,4.57,55.76,UVUCIPVRAXSAJP-HNQUOIGGSA-N,3,4,1,23,25
0f9ac4de-e88c-4b91-b1c9-495d765913b9,9243473,NC(=O)C1CCN(C(=O)CCc2csc(NC(=O)Nc3ccccc3)n2)CC1,,401.49,2.44,117.42,BHOAEBMEUINVGD-UHFFFAOYSA-N,6,5,3,28,30
8fd61218-3c7f-487b-8205-1976fc32f9d3,9252814,COc1ccc(Nc2nccn(C)c2=O)cn1,,232.24,0.93,69.04,CWYMDMFMILAGPE-UHFFFAOYSA-N,3,6,1,17,18
c958b064-13b2-4fab-a3d9-37b5ba15c1a9,9245488,OC1CCN(C2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)C1,,349.78,2.79,39.6,HLEKLIXOZURLAI-UHFFFAOYSA-N,2,4,1,23,25
03b05e47-52ef-4163-a39c-aab0c6799b51,9250649,COc1cccc(NC(=O)CSc2nccn(-c3ccc(F)c(F)c3)c2=O)c1,,403.41,3.25,73.22,MDLSPPWERXVLJY-UHFFFAOYSA-N,6,6,1,28,30
dcc45bbf-0691-47bf-8449-ad8e6e2ffbf0,9256685,COc1cc(-c2nnc(SCCCCSc3nnc(-c4cc(OC)c(OC)c(OC)c4)n3-c3ccccc3)n2-c2ccccc2)cc(OC)c1OC,,740.91,7.9,116.8,WNLOVNWSCKWHOH-UHFFFAOYSA-N,17,14,0,52,57
3e7f873b-a0df-415e-a3b5-af5e889ea44b,9243508,CCC(C)(C)c1ccc(OCCCC(=O)N2CCN(Cc3ccccc3)CC2)c(C(C)(C)CC)c1.Cl,,515.18,6.99,32.78,PSDWAGREDVODIL-UHFFFAOYSA-N,11,3,0,36,37
657bf2ab-8546-4747-a2fe-e78012ce974e,9266793,CSc1cccc(NC(=O)Cc2csc(NC(=O)Nc3ccccc3)n2)c1,,398.51,4.69,83.12,XYZYFMYQWKXBOT-UHFFFAOYSA-N,6,5,3,27,29
759b59c4-da82-4c7f-a7a6-6f5346459a63,9255114,CN(C)S(=O)(=O)c1ccc(C(=O)NCCCS(=O)(=O)N2CCN(c3ncccn3)CC2)cc1,,496.62,-0.0,132.88,VEKGRTJYRORJDY-UHFFFAOYSA-N,9,8,1,33,35
2099240f-a094-4e3b-8286-e6fca705c223,9257006,O=S(=O)(c1cccc2nsnc12)N1CC(N2CCCC2)C1,,324.43,1.16,66.4,YNKFHHODNVKSMZ-UHFFFAOYSA-N,3,6,0,21,24
0a08df04-c988-4fe7-bcab-d1bd5f1db258,9265575,Cc1noc(C)c1CCC(=O)NCC(O)c1csc2ccccc12,,344.44,3.29,75.36,UVATYXZCMYOONK-UHFFFAOYSA-N,6,5,2,24,26
e6088796-1064-4291-a17c-1c7a3a9466bb,9262562,CC(=O)Nc1cccc(NC(=O)CSc2ncnc3c2nnn3-c2ccc(F)cc2)c1,,437.46,3.04,114.69,JGYPLUSOLRSYTN-UHFFFAOYSA-N,6,8,2,31,34
db717b53-6629-4955-b9fb-2276ad058d59,9247526,O=C(CSc1ccncc1)N1CCC(N2CCc3ccccc3C2)C1,,353.49,2.83,36.44,XVCPUPQKUMSFLQ-UHFFFAOYSA-N,4,4,0,25,28
900235f4-3a2c-4661-87f1-d1efd18e77d8,9257064,CN(Cc1ccc(C#N)cc1)C1CN(S(=O)(=O)Cc2ccccc2)C1,,355.46,2.2,64.41,VZONDRZKFZCPKF-UHFFFAOYSA-N,6,4,0,25,27
af327546-1b85-4216-a494-f2983dcc53eb,9247958,CC1(C)Cc2cccc(OCC(=O)NCCCS(=O)(=O)N3CCN(c4ccccn4)CC3)c2O1,,488.61,1.83,101.07,LWKFXGOMHJPCQL-UHFFFAOYSA-N,9,7,1,34,37
fd993271-014b-49de-9351-457cf38be62d,9264551,CSc1ccccc1CN1CCC(CNC(=O)c2ccc3nsnc3c2)CC1,,412.58,4.06,58.12,XETKQVRXCVHKNT-UHFFFAOYSA-N,6,6,1,28,31
64301899-fa6a-4411-a3af-698f8a368df6,9246575,Cc1ccc(S(=O)(=O)N2CCN(CCn3nc(-c4ccccc4)ccc3=O)CC2)s1,,444.58,2.29,75.51,RAMQIXCYTZJIML-UHFFFAOYSA-N,6,7,0,30,33
23060c4b-eeb5-4868-aac0-5cec37f0e697,9270930,O=C([O-])c1ccc(-c2ccnc3ccsc23)cc1.[K+],,293.39,-0.67,53.02,CUAYLBGPPGFVRL-UHFFFAOYSA-M,2,4,0,19,20
b3b47491-ceae-4b2b-a39c-680d9f558c96,9249470,CCOc1ccc2ccccc2c1C(=O)NCC1CCN(CC(F)(F)F)CC1,,394.44,4.24,41.57,QSHYGESZKANTDF-UHFFFAOYSA-N,6,3,1,28,30
e2c5b6f8-1281-4393-a627-ff691b902643,9243481,Cc1cccc(OCC2CCCN(C(=O)CCc3nc(-c4ccccc4)no3)C2)n1,,406.49,3.69,81.35,BGIHQFLEZGQKBT-UHFFFAOYSA-N,7,6,0,30,33
55fecf95-2b5e-46e7-8d5c-a13221ba462f,9244964,C=CCN(CC=C)CC(O)CN1c2ccccc2Sc2ccccc21.Cl,,388.96,4.75,26.71,SPRIEJNVUISGEG-UHFFFAOYSA-N,8,4,1,26,27
5d7f4fe6-e8db-4009-b3d8-b7a6e74c5cfd,9247676,O=C(CSc1nc2ccccc2c(=O)n1-c1ccccc1)N1CCN(CCO)CC1,,424.53,1.61,78.67,XCGITDOAROOJBQ-UHFFFAOYSA-N,6,7,1,30,33
a3a9b052-fcd2-4174-9790-78fce3a9df57,9246895,O=C(COc1ccc(Cl)cc1)N(Cc1cnc2ccccn12)c1ccccc1,,391.86,4.6,46.84,VQUKJJZLHOCRIL-UHFFFAOYSA-N,6,4,0,28,31
a89c8c65-89dc-4578-9257-7622ad7e6af3,9266034,Cc1ccc(C(CNC(=O)COc2ccccc2)N2CCN(C)CC2)cc1,,367.49,2.48,44.81,AXJYPLSKVAAONL-UHFFFAOYSA-N,7,4,1,27,29
bdc4f48c-39bc-42f3-a3ab-0c7e4b3e531b,9245176,O=C(NCc1ccc(C(O)c2ccccc2)s1)NC1CCCC1,,330.45,3.57,61.36,IUZBUNTZBCCIJA-UHFFFAOYSA-N,5,3,3,23,25
9e7cb7d0-cc5e-4b6d-a72b-b1de07afb5b7,9251178,O=C(NC1CN(c2cc(C(F)(F)F)ccn2)C1)c1cccc(-n2cccn2)c1,,387.37,2.9,63.05,PREYPELAONLPIP-UHFFFAOYSA-N,4,5,1,28,31
d3a3f5a2-05aa-40df-9f9f-966d41928665,9257386,COc1cnc(OC2CCN(Cc3ccc4[nH]ccc4c3)CC2)nc1,,338.41,3.01,63.27,IIGSUPOQHXFWCL-UHFFFAOYSA-N,5,5,1,25,28
1018dfdf-0658-4644-8e8c-8760593483df,9268097,CC(C)(C)NC(=O)N1CCC(CNC(=O)C2(c3ccc(Cl)cc3)CCCC2)CC1,,420.0,4.49,61.44,GBTOHFCTJDCSQU-UHFFFAOYSA-N,4,2,2,29,31
7903722e-acf7-4391-ae7e-3331d0ba3808,9255168,O=C(Nc1ccc(-c2ccc(NC(=O)c3ccc(S(=O)(=O)N4CCOCC4)cc3)cc2)cc1)c1ccc(S(=O)(=O)N2CCOCC2)cc1,,690.8,3.9,151.42,SUNOHCGPUFIPOH-UHFFFAOYSA-N,9,8,2,48,53
ddd28464-64ac-4bf5-8b03-e2dcf05bdcb9,9244002,CNC(=O)c1cn(CC2CC2)c2ccccc12,,228.29,2.41,34.03,CUJRGDLSOWHZCD-UHFFFAOYSA-N,3,2,1,17,19
16b22836-a2e5-4e03-bf10-218d8f343b2f,9251229,O=C(CCn1ccc(=O)[nH]c1=O)Nc1ccccc1-c1cn2ccsc2n1,,381.42,1.94,101.26,VXRQLDALWRJNQG-UHFFFAOYSA-N,5,7,2,27,30
81ef1b7f-2c9c-4c4b-b4f8-665dfe04a2f1,9264549,O=C(NCC1CCCN1c1ccccc1)c1c[nH]c2ccccc12,,319.41,3.57,48.13,BRYDBLNDXKZNDI-UHFFFAOYSA-N,4,2,2,24,27
ad2cea5e-a314-4855-860d-cf9182f07b29,9260034,c1cnn(C2CC3CCC(C2)N3CC2CCOCC2)c1,,275.4,2.48,30.29,NZTULXCZGWNOGA-UHFFFAOYSA-N,3,4,0,20,23
affdafcb-a272-496c-b051-38afde0302e6,9245643,CC(=O)N1CCC(N2CC(Oc3ccncc3)C2)CC1,,275.35,1.16,45.67,DEQBYYUYLVRTKE-UHFFFAOYSA-N,3,4,0,20,22
763c5d69-785e-4388-818e-7892aac0cfe9,9265120,NS(=O)(=O)c1ccc(CNC(=O)C2CCN(c3ccc(-n4cncn4)nn3)CC2)cc1,,442.5,0.24,148.99,CKQXGSTWFIXNCO-UHFFFAOYSA-N,6,9,2,31,34
557deb18-3ca6-4a8b-9821-33070ee58019,9252775,Cc1ccc(Sc2c(-c3ccccc3)nc3ncccn23)cc1,,317.42,4.86,30.19,GCTBOIHKNFXLGT-UHFFFAOYSA-N,3,4,0,23,26
ee426517-37da-46bc-975c-ae2d901c5a53,9253008,Cc1ccc(OCCOCC(O)CN2CCN(CCN3C(=O)c4cccc5cccc(c45)C3=O)CC2)cc1C.Cl.Cl,,604.58,3.97,82.55,UZMIPOAZRFPUIF-UHFFFAOYSA-N,11,7,1,41,43
