user_compound_id,split
8633180,train
8633181,train
8633182,train
8633183,test
8633184,val
8633185,train
8633186,test
8633187,train
8633188,train
8633189,train
8633190,train
8633191,test
8633193,train
8633195,train
8633196,val
8633197,test
8633199,test
8633200,test
8633201,train
8633202,train
8633203,train
8633204,val
8633205,train
8633206,train
8633207,test
8633208,val
8633209,test
8633210,val
8633211,train
8633212,train
8633213,train
8633214,train
8633215,test
8633216,val
8633217,val
8633218,train
8633219,train
8633220,train
8633221,train
8633222,train
8633223,test
8633224,train
8633225,train
8633226,train
8633227,train
8633228,train
8633229,train
8633230,test
8633231,train
8633232,train
8633233,train
8633234,train
8633235,train
8633236,train
8633237,test
8633238,train
8633240,train
8633241,train
8633242,train
8633243,val
8633244,train
8633245,test
8633246,train
8633247,train
8633248,train
8633249,train
8633250,train
8633251,train
8633252,train
8633253,train
8633254,train
8633255,train
8633256,train
8633257,test
8633258,train
8633259,train
8633260,train
8633261,train
8633262,train
8633263,train
8633264,train
8633265,train
8633266,train
8633267,train
8633268,val
8633269,train
8633270,train
8633271,train
8633272,train
8633273,train
8633274,train
8633275,test
8633276,train
8633277,train
8633278,test
8633279,train
8633280,test
8633281,train
8633282,test
8633283,train
8633284,train
8633285,val
8633286,test
8633287,train
8633288,train
8633289,train
8633290,train
8633292,train
8633293,train
8633294,train
8633295,train
8633297,train
8633299,train
8633300,train
8633301,train
8633302,test
8633303,train
8633304,train
8633305,val
8633306,train
8633307,val
8633308,test
8633309,train
8633310,train
8633312,train
8633313,test
8633314,train
8633315,val
8633316,train
8633317,val
8633318,train
8633319,test
8633320,train
8633321,train
8633322,test
8633323,train
8633324,train
8633325,train
8633326,train
8633328,train
8633329,val
8633330,train
8633331,train
8633332,train
8633334,test
8633335,test
8633336,train
8633338,train
8633340,train
8633341,train
8633342,train
8633344,train
8633345,train
8633346,val
8633347,test
8633348,train
8633349,train
8633350,train
8633351,train
8633352,train
8633353,train
8633354,train
8633355,train
8633356,test
8633357,val
8633358,train
8633359,train
8633360,train
8633361,train
8633362,train
8633363,train
8633364,val
8633365,train
8633366,test
8633367,val
8633368,train
8633369,test
8633370,test
8633371,train
8633372,train
8633373,test
8633374,train
8633375,train
8633376,train
8633377,train
8633379,test
8633380,val
8633381,train
8633382,train
8633383,train
8633384,train
8633385,test
8633386,train
8633387,val
8633388,train
8633389,train
8633390,train
8633391,train
8633392,train
8633393,val
8633394,train
8633395,train
8633396,train
8633397,train
8633398,train
8633399,train
8633400,train
8633401,train
8633402,test
8633403,train
8633404,train
8633405,train
8633406,train
8633407,val
8633408,train
8633410,val
8633411,train
8633412,val
8633413,train
8633414,train
8633415,train
8633416,train
8633417,train
8633418,val
8633419,train
8633421,train
8633422,val
8633423,train
8633424,test
8633425,train
8633426,train
8633427,train
8633428,test
8633429,train
8633430,train
8633431,test
8633432,test
8633433,train
8633434,train
8633435,train
8633436,train
8633437,test
8633438,train
8633439,train
8633440,test
8633441,train
8633442,train
8633444,train
8633445,val
8633446,val
8633447,train
8633448,test
8633449,train
8633451,val
8633452,test
8633453,train
8633454,train
8633455,val
8633456,val
8633457,train
8633458,train
8633459,train
8633460,train
8633461,test
8633462,val
8633463,test
8633464,train
8633465,test
8633466,val
8633467,test
8633468,train
8633469,train
8633470,train
8633471,train
8633472,train
8633473,val
8633474,train
8633475,train
8633476,val
8633477,train
8633478,train
8633479,train
8633480,train
8633481,test
8633482,train
8633483,test
8633484,train
8633485,train
8633486,test
8633487,train
8633488,train
8633489,train
8633490,train
8633492,train
8633493,test
8633494,train
8633495,train
8633496,train
8633497,train
8633498,val
8633499,val
8633500,train
8633501,test
8633502,train
8633503,train
8633504,val
8633505,train
8633506,train
8633507,train
8633508,train
8633509,train
8633510,train
8633511,train
8633512,test
8633513,test
8633514,train
8633515,train
8633516,train
8633517,test
8633518,train
8633519,val
8633520,val
8633522,train
8633523,train
8633524,train
8633525,train
8633526,test
8633527,train
8633530,test
8633532,train
8633533,train
8633534,train
8633535,test
8633536,train
8633537,train
8633540,train
8633541,val
8633542,train
8633544,train
8633545,val
8633546,train
8633547,val
8633548,val
8633550,val
8633551,train
8633552,train
8633553,val
8633554,train
8633556,train
8633557,train
8633559,train
8633560,test
8633562,train
8633563,train
8633564,train
8633565,train
8633566,train
8633567,train
8633568,train
8633569,val
8633570,train
8633571,train
8633572,train
8633573,val
8633574,train
8633575,train
8633576,train
8633577,train
8633578,train
8633579,val
8633580,train
8633581,train
8633583,train
8633584,val
8633585,train
8633586,test
8633587,val
8633588,test
8633589,train
8633591,train
8633592,val
8633593,train
8633595,train
8633596,train
8633597,train
8633598,test
8633599,test
8633600,train
8633601,val
8633602,train
8633603,train
8633604,val
8633605,train
8633606,train
8633607,test
8633608,train
8633609,train
8633610,test
8633611,train
8633612,val
8633614,test
8633616,train
8633617,train
8633618,train
8633619,val
8633620,train
8633621,train
8633622,train
8633623,val
8633624,train
8633625,train
8633628,val
8633629,train
8633630,train
8633631,train
8633633,train
8633634,test
8633635,train
8633636,val
8633638,train
8633639,train
8633642,val
8633643,train
8633644,train
8633645,train
8633646,test
8633647,train
8633648,train
8633650,train
8633651,test
8633652,val
8633653,val
8633654,train
8633655,val
8633656,train
8633657,train
8633658,train
8633659,train
8633660,train
8633662,train
8633663,train
8633664,train
8633665,test
8633666,train
8633667,train
8633668,train
8633669,train
8633670,train
8633671,train
8633672,train
8633673,test
8633674,train
8633675,train
8633676,val
8633677,train
8633678,train
8633679,train
8633680,train
8633681,train
8633682,train
8633683,train
8633684,train
8633685,train
8633686,train
8633687,test
8633688,train
8633689,train
8633690,val
8633691,test
8633692,test
8633693,train
8633694,train
8633695,train
8633696,train
8633697,train
8633698,train
8633699,val
8633700,train
8633702,train
8633703,train
8633704,train
8633706,train
8633707,train
8633708,val
8633709,val
8633710,test
8633711,train
8633712,train
8633714,test
8633715,train
8633716,train
8633717,val
8633718,train
8633719,train
8633720,val
8633729,test
8633730,train
8633731,train
8633732,train
8633733,train
8633734,val
8633736,train
8633737,train
8633738,test
8633740,train
8633741,train
8633742,test
8633743,test
8633744,test
8633745,train
8633746,train
8633747,train
8633748,train
8633749,train
8633750,train
8633751,val
8633752,train
8633753,test
8633754,train
8633755,train
8633756,train
8633757,train
8633758,train
8633759,train
8633760,train
8633761,test
8633762,train
8633763,train
8633764,val
8633765,train
8633766,train
8633767,train
8633768,train
8633769,train
8633770,val
8633771,val
8633772,train
8633773,val
8633774,train
8633775,train
8633776,train
8633777,test
8633778,train
8633779,train
8633780,test
8633781,train
8633782,train
8633783,train
8633784,train
8633785,train
8633786,test
8633787,train
8633788,train
8633789,val
8633790,train
8633791,train
8633792,train
8633793,test
8633794,train
8633795,train
8633796,val
8633797,train
8633798,train
8633799,train
8633800,test
8633801,train
8633802,test
8633803,val
8633804,train
8633805,test
8633806,val
8633807,train
8633808,train
8633809,train
8633810,train
8633811,train
8633812,train
8633813,val
8633814,train
8633815,train
8633816,train
8633817,val
8633818,train
8633819,train
8633820,train
8633821,train
8633822,test
8633823,train
8633824,train
8633825,train
8633826,train
8633827,train
8633828,train
8633829,train
8633830,train
8633831,train
8633832,train
8633833,train
8633834,train
8633835,val
8633836,test
8633837,train
8633838,train
8633839,train
8633840,train
8633841,train
8633842,train
8633843,train
8799728,train
8799730,test
8799732,train
8799737,test
8799739,train
8799741,train
8799743,val
8799745,train
8799747,train
8799749,val
8799757,train
8799761,test
8799763,test
8799765,val
8799767,train
8799775,train
8799777,test
8799779,train
8799782,train
8799784,train
8799786,val
8799788,test
8799790,train
8799792,train
8799795,train
8799796,train
8799801,train
8799803,train
8799807,train
8799809,val
8799811,train
8799813,train
8799854,val
8799855,train
8799857,val
8799859,train
8799863,train
8799870,train
8799872,test
8799874,train
8799876,train
8799880,train
8799884,train
8799885,train
8799887,train
8799889,train
8799891,train
8799893,train
8799896,train
8799898,train
8799900,val
8799919,train
8799921,test
8799924,test
8799926,train
8799928,train
8799930,val
8799932,train
8799934,train
8799936,test
8799938,train
8799939,test
8799940,train
8799942,train
8799945,train
8799951,train
8799955,train
8799961,train
8799963,train
8799964,train
8799966,train
8799968,test
8799970,train
8799971,train
8799972,train
8799974,train
8799976,train
8799977,test
8799979,test
8799980,train
8799982,train
8799986,train
8799990,train
8799992,train
8799999,train
8800001,train
8800002,train
8800003,train
8800004,train
8800005,train
8800007,train
8800008,val
8800012,train
8800014,train
8800016,val
8800021,train
8800023,train
8800029,train
8800033,val
8800035,train
8800038,test
8800039,train
8800041,val
8800044,train
8800046,test
8800048,train
8800049,test
8800050,test
8800052,train
8800053,val
8800077,train
8800079,test
8800083,train
8800085,train
8800088,test
8800090,test
8800091,val
9241059,test
9241120,train
9241121,train
9241122,test
9241124,train
9241131,val
9241139,train
9241141,train
9241165,train
9241281,train
9242000,train
9242124,train
9242125,test
9242517,train
9242523,train
9242736,val
9242763,train
9242774,test
9242783,val
9242794,test
9242819,train
9242821,test
9242828,train
9242832,val
9242840,val
9242845,train
9242851,train
9242861,train
9242865,val
9242872,train
9242873,train
9242874,train
9242892,train
9242893,val
9242898,train
9242902,train
9242904,train
9242907,val
9242912,train
9242914,val
9242932,val
9242938,train
9242939,train
9242943,train
9242944,train
9242951,train
9242952,test
9242966,train
9242968,train
9242984,val
9242989,val
9242992,train
9242993,val
9242997,train
9242998,train
9243002,train
9243005,train
9243006,train
9243007,train
9243008,val
9243012,train
9243016,train
9243020,test
9243027,train
9243028,train
9243029,train
9243043,train
9243046,train
9243058,test
9243060,train
9243061,test
9243073,train
9243089,train
9243097,test
9243107,train
9243114,val
9243115,val
9243116,train
9243140,train
9243163,val
9243167,train
9243184,val
9243195,train
9243202,train
9243203,train
9243206,test
9243215,train
9243216,val
9243226,train
9243229,train
9243235,train
9243238,train
9243240,val
9243246,train
9243249,train
9243250,test
9243251,test
9243252,train
9243256,train
9243260,train
9243263,test
9243266,train
9243268,train
9243277,train
9243304,train
9243318,train
9243331,val
9243336,train
9243341,train
9243344,train
9243352,val
9243354,train
9243356,test
9243365,train
9243373,train
9243374,train
9243378,train
9243391,train
9243393,train
9243396,train
9243407,train
9243413,train
9243417,train
9243418,train
9243420,train
9243427,train
9243428,test
9243431,train
9243433,test
9243434,train
9243435,val
9243437,train
9243439,train
9243444,train
9243445,test
9243449,train
9243450,train
9243456,train
9243457,train
9243463,train
9243468,train
9243470,train
9243473,train
9243475,train
9243476,test
9243478,train
9243479,train
9243480,train
9243481,train
9243484,test
9243491,test
9243495,val
9243501,train
9243504,train
9243505,train
9243506,test
9243508,test
9243510,train
9243521,train
9243553,train
9243558,val
9243580,train
9243593,train
9243600,train
9243603,val
9243611,train
9243613,train
9243618,train
9243621,train
9243622,train
9243624,val
9243625,train
9243631,train
9243639,val
9243646,train
9243652,train
9243662,train
9243664,train
9243665,train
9243672,train
9243673,train
9243674,test
9243675,val
9243688,train
9243690,train
9243694,train
9243698,test
9243699,train
9243701,test
9243716,val
9243725,test
9243726,train
9243735,train
9243739,train
9243742,train
9243743,train
9243744,train
9243745,train
9243748,train
9243756,test
9243760,train
9243764,test
9243776,test
9243783,train
9243785,val
9243795,train
9243804,train
9243806,train
9243807,val
9243814,train
9243818,test
9243821,train
9243823,test
9243824,val
9243826,train
9243834,test
9243836,train
9243839,train
9243844,train
9243850,train
9243852,train
9243855,train
9243858,val
9243859,train
9243860,train
9243864,test
9243867,train
9243869,train
9243870,test
9243871,train
9243872,train
9243873,val
9243884,test
9243909,train
9243911,test
9243913,train
9243914,train
9243917,train
9243919,test
9243943,train
9243945,train
9243948,train
9243950,test
9243951,train
9243952,val
9243964,train
9243965,test
9243971,train
9243972,train
9243973,train
9243974,train
9243975,train
9243983,train
9243985,train
9243989,train
9243990,test
9243991,train
9243992,val
9243994,test
9243995,val
9243996,train
9243998,train
9243999,test
9244001,train
9244002,test
9244005,train
9244013,test
9244017,test
9244018,val
9244043,train
9244044,train
9244045,test
9244047,train
9244048,test
9244050,train
9244051,train
9244059,train
9244072,train
9244074,test
9244077,test
9244078,train
9244081,test
9244088,train
9244089,test
9244091,train
9244093,train
9244097,train
9244100,train
9244101,train
9244102,val
9244104,val
9244105,train
9244106,train
9244108,test
9244109,train
9244114,train
9244117,train
9244118,test
9244119,test
9244120,train
9244122,val
9244128,train
9244131,val
9244140,train
9244141,val
9244142,test
9244143,train
9244146,train
9244149,train
9244152,train
9244157,val
9244160,train
9244161,train
9244166,val
9244171,train
9244203,val
9244204,train
9244211,train
9244216,train
9244220,train
9244221,train
9244222,val
9244224,train
9244230,test
9244232,train
9244236,train
9244255,train
9244264,train
9244265,train
9244266,train
9244271,val
9244276,test
9244277,test
9244282,test
9244283,train
9244284,train
9244287,train
9244290,train
9244291,train
9244292,val
9244303,train
9244304,train
9244307,test
9244308,train
9244312,train
9244314,train
9244317,train
9244318,train
9244321,train
9244322,train
9244324,train
9244326,test
9244327,train
9244330,train
9244347,train
9244355,train
9244368,val
9244376,val
9244378,train
9244379,train
9244380,train
9244381,val
9244383,train
9244389,test
9244395,train
9244403,train
9244404,train
9244405,train
9244412,val
9244418,train
9244420,train
9244424,test
9244425,train
9244426,test
9244427,train
9244429,train
9244430,test
9244431,train
9244432,val
9244433,train
9244436,val
9244437,val
9244442,train
9244443,train
9244444,train
9244447,train
9244449,train
9244450,train
9244458,train
9244460,test
9244461,val
9244464,train
9244465,train
9244467,train
9244468,train
9244469,train
9244471,train
9244472,train
9244482,val
9244485,test
9244486,val
9244487,train
9244489,train
9244490,val
9244491,train
9244492,train
9244494,train
9244497,train
9244498,train
9244500,train
9244503,train
9244505,val
9244507,test
9244508,train
9244509,train
9244524,train
9244571,train
9244572,train
9244580,train
9244582,train
9244584,train
9244599,train
9244601,train
9244602,train
9244609,val
9244616,train
9244617,test
9244618,train
9244637,train
9244641,train
9244643,train
9244644,train
9244647,train
9244648,val
9244649,test
9244650,val
9244657,train
9244658,test
9244659,train
9244678,train
9244679,train
9244680,train
9244683,test
9244685,train
9244686,train
9244690,val
9244696,train
9244698,train
9244700,train
9244711,train
9244712,train
9244713,val
9244714,train
9244715,train
9244718,val
9244720,test
9244721,train
9244722,train
9244727,train
9244731,val
9244736,train
9244737,train
9244738,train
9244739,val
9244740,train
9244751,train
9244755,test
9244756,train
9244757,train
9244758,train
9244759,test
9244760,train
9244761,train
9244763,train
9244764,train
9244765,train
9244766,train
9244768,test
9244770,val
9244772,val
9244773,train
9244774,train
9244780,val
9244784,train
9244790,train
9244807,train
9244811,train
9244812,train
9244815,train
9244822,test
9244828,val
9244829,train
9244833,val
9244834,train
9244841,train
9244842,train
9244844,val
9244848,test
9244854,train
9244867,test
9244869,train
9244870,val
9244871,test
9244872,train
9244878,train
9244891,train
9244897,train
9244899,test
9244900,train
9244908,train
9244909,train
9244912,train
9244913,test
9244914,train
9244920,train
9244922,train
9244935,val
9244954,test
9244955,train
9244956,train
9244957,train
9244964,train
9244970,train
9244971,train
9244976,train
9244984,val
9245003,test
9245007,val
9245015,train
9245019,test
9245022,val
9245031,train
9245036,train
9245038,val
9245039,test
9245044,val
9245047,train
9245052,train
9245053,test
9245054,train
9245062,train
9245064,train
9245065,train
9245069,train
9245071,train
9245075,train
9245079,train
9245080,test
9245085,val
9245092,train
9245093,test
9245098,train
9245109,train
9245110,val
9245118,train
9245119,train
9245148,train
9245153,train
9245154,train
9245159,train
9245163,val
9245165,train
9245166,train
9245167,test
9245170,train
9245171,train
9245175,val
9245176,train
9245178,train
9245179,train
9245180,train
9245181,val
9245182,val
9245183,test
9245188,val
9245190,val
9245192,val
9245195,train
9245196,train
9245197,val
9245198,train
9245202,train
9245224,val
9245227,train
9245268,test
9245273,test
9245274,train
9245275,test
9245276,val
9245277,test
9245281,train
9245282,train
9245283,train
9245284,train
9245289,train
9245290,train
9245291,train
9245292,train
9245293,train
9245294,test
9245308,val
9245311,train
9245318,test
9245319,test
9245326,test
9245328,val
9245331,val
9245337,train
9245339,val
9245341,train
9245342,test
9245348,train
9245349,train
9245350,test
9245352,train
9245353,train
9245355,train
9245356,train
9245359,train
9245362,train
9245369,train
9245371,train
9245381,train
9245382,train
9245387,train
9245388,test
9245389,train
9245390,val
9245391,train
9245394,train
9245407,test
9245408,train
9245413,train
9245414,test
9245417,train
9245422,train
9245431,train
9245433,val
9245435,val
9245438,test
9245444,train
9245448,train
9245449,train
9245451,train
9245453,val
9245457,train
9245459,train
9245462,train
9245463,train
9245474,train
9245478,train
9245479,train
9245480,test
9245481,train
9245482,val
9245483,train
9245488,test
9245491,test
9245494,test
9245496,train
9245500,train
9245513,val
9245514,train
9245515,train
9245522,train
9245523,train
9245525,train
9245526,train
9245529,val
9245534,val
9245535,val
9245536,train
9245551,train
9245552,test
9245554,train
9245557,train
9245566,test
9245573,train
9245581,train
9245585,test
9245586,val
9245588,train
9245589,val
9245590,train
9245595,train
9245597,train
9245598,train
9245599,train
9245602,train
9245605,train
9245606,train
9245608,train
9245609,val
9245612,train
9245613,train
9245614,train
9245616,val
9245618,test
9245627,train
9245630,train
9245634,train
9245635,train
9245638,train
9245640,train
9245643,train
9245645,train
9245648,train
9245654,train
9245655,train
9245656,train
9245658,train
9245659,val
9245661,val
9245666,train
9245677,train
9245679,train
9245680,train
9245681,train
9245682,train
9245683,train
9245684,train
9245697,train
9245716,train
9245717,train
9245720,train
9245723,train
9245730,train
9245731,train
9245733,train
9245734,train
9245740,val
9245741,val
9245746,val
9245748,train
9245749,train
9245755,train
9245760,train
9245762,test
9245765,train
9245768,val
9245785,test
9245786,train
9245810,train
9245813,train
9245821,train
9245839,test
9245857,train
9245859,val
9245919,test
9245923,train
9245927,train
9245929,train
9245957,train
9245962,train
9245963,train
9245974,train
9245978,train
9245979,train
9245981,train
9245982,train
9245983,val
9245989,train
9246009,train
9246011,train
9246018,test
9246024,train
9246029,train
9246030,train
9246046,test
9246047,val
9246051,train
9246072,train
9246073,train
9246091,train
9246123,val
9246137,val
9246153,train
9246158,test
9246160,train
9246171,train
9246172,test
9246211,train
9246217,val
9246231,val
9246233,train
9246235,train
9246239,train
9246250,train
9246252,train
9246254,train
9246281,train
9246288,train
9246289,train
9246294,train
9246297,train
9246298,train
9246306,train
9246309,train
9246311,train
9246312,train
9246313,train
9246314,train
9246315,train
9246319,train
9246320,train
9246324,train
9246327,train
9246328,train
9246330,train
9246332,train
9246333,train
9246335,train
9246337,train
9246338,val
9246348,train
9246363,train
9246364,train
9246365,train
9246368,test
9246376,val
9246397,train
9246439,val
9246440,train
9246441,train
9246442,train
9246460,train
9246482,train
9246495,train
9246497,train
9246505,train
9246508,train
9246509,train
9246510,test
9246514,val
9246516,train
9246517,train
9246519,train
9246529,train
9246542,train
9246569,train
9246570,val
9246572,train
9246575,train
9246576,val
9246578,val
9246579,train
9246586,train
9246592,train
9246594,train
9246648,train
9246668,train
9246669,train
9246670,val
9246671,train
9246672,test
9246687,test
9246688,train
9246694,train
9246696,train
9246698,test
9246732,train
9246758,train
9246760,train
9246761,train
9246763,train
9246774,train
9246775,train
9246776,test
9246777,train
9246784,train
9246798,test
9246801,train
9246802,train
9246843,train
9246845,train
9246850,train
9246859,train
9246863,train
9246864,train
9246866,train
9246867,train
9246868,train
9246872,train
9246883,train
9246891,train
9246894,train
9246895,train
9246908,val
9246913,train
9246917,train
9246918,val
9246919,test
9246923,train
9246925,test
9246927,test
9246931,train
9246934,val
9246944,train
9246947,train
9246949,train
9246955,train
9246959,train
9246964,train
9246967,val
9246970,train
9246976,train
9246984,train
9246985,train
9246986,train
9246990,test
9246991,test
9246998,train
9247015,train
9247016,train
9247018,train
9247019,test
9247023,val
9247027,test
9247029,val
9247030,val
9247031,train
9247038,val
9247044,train
9247046,train
9247050,train
9247055,train
9247061,test
9247068,train
9247079,test
9247084,train
9247086,train
9247103,test
9247104,val
9247108,train
9247109,train
9247110,train
9247117,val
9247127,val
9247130,test
9247132,train
9247133,train
9247138,test
9247142,train
9247143,test
9247144,train
9247147,val
9247172,train
9247185,test
9247190,train
9247191,train
9247196,test
9247197,train
9247202,test
9247210,val
9247212,test
9247214,train
9247215,train
9247228,test
9247230,train
9247242,train
9247246,test
9247247,train
9247249,test
9247254,train
9247259,train
9247261,test
9247271,train
9247272,train
9247302,train
9247315,test
9247333,test
9247334,val
9247335,train
9247356,train
9247357,val
9247358,train
9247359,train
9247360,test
9247371,test
9247373,train
9247374,train
9247376,train
9247377,val
9247385,train
9247386,val
9247390,train
9247394,train
9247397,val
9247399,train
9247400,train
9247406,val
9247407,train
9247408,test
9247410,train
9247412,train
9247413,train
9247423,test
9247424,train
9247444,train
9247446,test
9247459,train
9247473,test
9247474,train
9247475,val
9247484,train
9247492,train
9247498,train
9247523,train
9247526,test
9247529,train
9247534,train
9247536,train
9247537,train
9247547,train
9247549,test
9247551,train
9247552,test
9247554,val
9247555,val
9247556,val
9247558,train
9247559,train
9247564,train
9247565,train
9247566,train
9247568,train
9247569,train
9247576,train
9247577,train
9247581,train
9247582,val
9247584,test
